Timestamp,Organization:,Organizational sector:,Does your organization work with the City or County of Los Angeles?,Programs/Initiatives (If applicable),Creative Sector Alignment:,Pipeline service:,Organizational/Program overview:,Ages served: ,Particular populations served:,Number of individuals served:,Neighborhood/community served:,To connect/contact:,For more information: ,Did organization participate in an interview?
7/19/2018 10:33:57,Archdiocesan Youth Employment Services,non-profit,,This Way Ahead--Gap Inc.; Workforce Innovation & Opportunity Act; YouthBuild  ,fashion,"EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","The Archdiocesan Youth Employment Services (AYE) of Catholic Charities of Los Angeles, Inc. provides over 2,000 less privileged youth with job training, educational and career services each year. An additional 1,500 young people receive referral and job placement assistance through an extensive network of employers and community organizations. AYE has field offices in Antelope Valley, Downtown Los Angeles, East Los Angeles, Hollywood and South Los Angeles in partnership with many local educational and community organizations. 

This Way Ahead - Gap Inc:
Youth 16-24 participate in paid internships at Gap, Banana Republic and Old Navy stores and receive job training, mentorship and support services.

Workforce Innovation and Opportunity Act :
Eligible youth ages 16 to 24, participate in work readiness workshops in anticipation of starting a paid internship. Youth currently work 140 hours at minimum wage. Customer service training and career exploration are also available. In 2016-17, AYE served more than 880 youth under Workforce Innovation Investment Act (WIOA).  Support services include clothing, childcare, transportation and vocational training costs (i.e., tuition, books, supplies, union dues).

YouthBuild - Department of Labor:
YouthBuild provides out-of-school young adults, ages 17 to 24, with community-based alternative education program leading to high school equivalency or diploma, and recognized occupational skills training in construction and trades.   AYE partners with LAUSD Los Angeles Technology Center (LATC), Habitat for Humanity, and Pico Union Housing Corporation to provide job training, hands-on paid work experience, education, career planning and support services to enter apprenticeships or advanced training for high growth construction and trades.","16, 17, 18, 19-24","Low-income students, Disconnected youth (not employed or in school), No restrictions/all populations served",more than 1000,County of Los Angeles,"3250 Wilshire Boulevard
Suite 1010
Los Angeles, California 90010
(213) 736-5456

YOUTH SERVICE LOCATIONS:
East Los Angeles
5301 Whittier Blvd, Second Floor, Los Angeles, CA 90022
(323) 887-7122 

Florence Firestone
7807 Compton Avenue, Los Angeles, CA  90001
(323) 583-9655

PUEDE Center - YouthBuild
1115 S. Alvarado St, Los Angeles, CA  90006
(213) 241-9723

South LA AJCC - LA Southwest College, SOCTE #115
1600 W. Imperial Highway, Los Angeles, CA 90047
(323) 241-5016",https://ayela.org/,Yes
7/19/2018 11:53:41,Pasadena Unified School District,k-12/alt education,,Arts Education; College and Career Academies ,"communication arts, digital media, entertainment, industrial design services","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","Arts Education: The Pasadena Unified School District (PUSD) is committed to expanding access to arts education for all students and forging relationships between Pasadena Unified schools and local arts and cultural organizations. The District’s strategic arts plan, written by the District Arts Team/Community Arts Team members with support from the Los Angeles County Arts Commission Arts Education Collective, highlights expanding the sequence of 6th-12th grade arts electives, increasing the profile of PUSD arts through community events, and integrating more than 30 Pasadena-area world-class arts institutions into learning both on campus and in public spaces to support K-12 arts education in visual art, music, theater, and dance. 

Beginning in 2017, 3 PUSD high schools have entered into a four-year partnership with Exploring the Arts (ETA). The high schools will partner with cultural institutions to bring dance, acting, studio art, symphony orchestra, and music production classes to their campuses. Through the Exploring the Arts Apprenticeship Program, select juniors and seniors at the partnering schools will be placed in internships at arts organizations during non-school hours. Students will receive a financial stipend and participate in group meetings led by ETA staff with fellow students in the program. Pasadena arts organizations such as Lineage Dance, Pasadena Museum of California Art, Pasadena Symphony, Side Street Projects, Pasadena Media, and the Huntington will be hosting eligible interns. 

College and Career Academies:
The high school academies are designed to give students a good look into what future careers are actually like, so that they can make timely, informed decisions and discover their true passions.  We strive to link students’ passion with what they learn throughout their high school career. Academies include the Academy for Creative Industries, App Academy, Arts, Entertainment and Media, and Creative Arts, Media and Design. 

The internship program is a key component of PUSD’s Academies, which are designed to prepare students for success in higher education and the workplace in fields of their choice. The internship program is designed to give students opportunities to apply knowledge and skills from the classroom to the workplace; work with mentors on meaningful projects; practice their critical-thinking, communication, and problem solving skills; develop self-confidence and discipline; inspire a career choice, and add value to the internship hosts’ workplace. ","14, 15, 16, 17, 18",No restrictions/all populations served,more than 1000,Pasadena,"351 S. Hudson Ave 
Pasadena, CA 91109
626.396.3600",https://www.pusd.us/,Yes
7/19/2018 14:06:17,Arts for Los Angeles,non-profit,,ACTIVATE,Art policy and advocacy,Advocacy for the arts,"Arts for LA is a voice for the arts in Greater Los Angeles that informs, engages, and mobilizes individuals and organizations to advocate for access to the arts across all communities; arts education for every student; robust investment in the arts; and inclusion of diverse and underrepresented voices. Arts for LA invests in leadership development, growing networks of civically engaged advocates; building deep relationships with elected officials; and working in partnership across sectors to make LA a vibrant, prosperous, creative, and healthy society.

Arts for LA believes that by identifying and eliminating barriers to equity, access, and inclusion, all of Los Angeles will thrive. We work to promote policies that enables everyone to express their creative voice and promotes access to a variety of cultural and artistic experiences, and identifies arts education as central to the development of all children and to ongoing and creative engagement for people of all ages.

ACTIVATE: ACTIVATE is a free advocacy training and leadership development program of Arts for LA. The program recognizes the importance of local leaders and seeks to empower these individuals with the skills, knowledge, and an expanded network to effect change in communities across Greater Los Angeles.
ACTIVATE focuses on leadership, policy, planning, coaching, implementation, and mobilization of advocacy initiatives in local communities. During this nine-month program, participants learn from the top leaders in social justice, education, cultural infrastructure, advocacy, communication, and policy. Each session features speakers who deepen advocates' knowledge and empower them to take action.",,Art leaders,more than 1000,County of Los Angeles,"1149 S Hill Suite H-100
Los Angeles, CA 90015",http://www.artsforla.org/,Yes
7/19/2018 16:33:38,Los Angeles County Arts Commission ,Government agency,,Arts Internship Program,"arts galleries, communication arts, digital media, entertainment","PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","The Los Angeles County Arts Commission fosters excellence, diversity, vitality, understanding and accessibility of the arts in Los Angeles County, encompassing 88 municipalities and 137 unincorporated areas, and provides leadership in cultural services. The Arts Commission funds 364 nonprofit arts organizations through a two-year $9 million grant program, runs the largest arts internship program in the country, coordinates the LA County Arts Education Collective, manages the County’s civic art policy, and produces free community programs.

Arts Internship Program:
Established in 2000 by the Los Angeles County Board of Supervisors, the LA County Arts Internship Program aims to provide undergraduates (2- and 4-year) with meaningful experience working in nonprofit arts organizations, while assisting those organizations and developing future arts leaders. Students develop a deeper understanding of the work involved in nonprofit arts administration, better understand the role of the arts in communities and develop skills that can be put to use in their future careers.The program is a sister program to The Getty Foundation’s Multicultural Undergraduate Internship Program, which provides similar internships in museums and visual arts organizations. The County gratefully acknowledges The Getty’s Foundation support of the educational program components of its Arts Internship Program.

The Program provides 10-week, full-time paid summer internships to eligible undergraduate college students. ","18, 19-24, 24+",Students enrolled in a postsecondary institution,51-100,County of Los Angeles,"1055 Wilshire Blvd, Suite 800
Los Angeles, CA 90017
(213) 202-5858",https://www.lacountyarts.org/opportunities/arts-internship-program-students/about-arts-internship-program-students,Yes
7/19/2018 20:26:40,LeadersUp,non-profit,,,"communication arts, digital media, entertainment, furniture/decorative arts, industrial design services, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries","One of the most persistent challenges in preparing young adults for the workplace, is the mismatch of the in-demand skills that employers are seeking in the workplace, and the types of skills providers are developing for young people. LeadersUp is a talent development accelerator focused on ending the youth unemployment crisis and closing the Opportunity Divide. The core of LeadersUp’s commitment to young adults involves equipping individuals with the necessary career skills and finding pathways that lead to vibrant, financially stable and thriving lives.

With locations in Los Angeles, San Francisco and Chicago, LeadersUp works with youth, ages 18 to 24 to prepare them for employment with companies including FedEx, AT&T, Target and more. Not only does the organization connect the youth with employment, but it also works with the young adults for a year after being employed to help them stay employed and move up in the companies.

LeadersUp works with programs throughout Los Angeles to recruit and to provide young people with the supports they need to thrive. Students participate in a weeklong workshop for the young people interested. This workshop teaches the youth everything they need to know about the company they will be interviewing for, as well power skills, including effective communication, perseverance, strong work ethic and the ability to build relationships.","18, 19-24","Low-income students, No restrictions/all populations served, Students of color",more than 1000,"County of Los Angeles, national organization","830 Traction Avenue, 3A 
Los Angeles, CA  90013",https://leadersup.org/,Yes
7/19/2018 20:57:33,Pipelines,non-profit,,,"communication arts, digital media, entertainment, fashion, publishing and printing, visual and performing arts providers","EXPOSURE: introduce students to career opportunities in the creative industries, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries","Why are the tech and entertainment industries so white and male?  Emerging talent in minority groups are extremely underrepresented, and aren't given the opportunities to begin with. The problem is systemic. PIPELINE aims to provide more accessible opportunities to develop and hone talents so we can start to see talented people in our industries that actually reflect society. 

Through PIPELINES mobile app we connect underrepresented talent, high school and college students to opportunities, using customizable filters and geo-location technologies, to find the right opportunities. Users (talent and students) only see potential opportunities that are relevant to their interests, filters and criteria. Company participants will be able to do the same. When a company participant and user both flag or “like” each other, this is considered a match and enables messaging right through the app. Students will be able to experience scholarships, mentorships, summer or after school employment, internships, and job shadowing. There will also be opportunities for apprenticeships and training programs for individuals interested in more technical training.

Our vision is for PIPELINES to become THE platform for scholarship, networking and opportunity — helping to encourage, inspire, and promote important voices that are rarely heard, yet very necessary in these industries.","14, 15, 16, 17, 18, 19-24, 24+","No restrictions/all populations served, Underrepresented youth",,"City of Los Angeles, County of Los Angeles","9905 Jefferson Boulevard
Culver City, CA 90232
310-315-8700",https://www.pipelines.org/,Yes
7/19/2018 21:44:43,Ryan Murphy Productions,creative industry,,Half-Internships,entertainment,"EXPOSURE: introduce students to career opportunities in the creative industries, WORKFORCE READINESS: teach soft skills required for success in the creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries","Ryan Murphy launched Half aiming to make Hollywood more inclusive by creating equal opportunities for women and minorities behind the camera. Less than one year after launching Half, Ryan Murphy Television’s director slate hired 60% women directors and 90% met it's women & minority requirement.
​
In 2017, Ryan Murphy introduced Half - Internships in conjunction with Mayor Eric Garcetti's Evolve Entertainment Fund hiring interns through Hire LA Youth. ","18, 19-24, 24+","Females, Low-income students, No restrictions/all populations served, LGBTQ ",11-50,City of Los Angeles,"5555 Melrose Ave. 
Chevalier Bldg. 
Los Angeles, CA 90038",https://www.halfinitiative.com/,Yes
7/20/2018 8:31:28,Sony Pictures Entertainment,creative industry,,Corporate Social Responsibility Efforts; Sony Pictures Internship Program,"communication arts, digital media, entertainment","WORKFORCE READINESS: teach soft skills required for success in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments","We believe companies that are good citizens to the world help sustain their own and others' futures. We give back to our local communities and empower employees to engage with their colleagues to benefit the community, individuals, and our company. Our Corporate Social Responsibility efforts are focused on arts, education, diversity and the environment, as well as giving in the communities closest to our headquarters.

ARTS & EDUCATION:
As we look to build equity and provide opportunities and career pathways to jobs in the entertainment sector for under-served youth in the communities where we live and work, Sony Pictures is dedicated to providing the tools and access to the next generation of workers in the creative economy. We do this through investments in initiatives that restore arts education curriculum to local schools and through collaboration, contribution and employee engagement. The company has helped establish and fund unique programs such as the specialized Academy of Visual and Performing Arts at Culver City High School, the Sony Pictures Media Art Program with the City of Los Angeles Department of Cultural Affairs and CalArts Community Arts Partnership, and Los Angeles County Arts Commission's ""Arts for All"" initiative.

INTERNSHIP PROGRAM: 
Sony’s SPE Internship Program is a competitive program designed to give eligible interns experience in what it’s actually like working in a major entertainment studio. They will be exposed to the nuances of how an entertainment business is run and learn the big-picture dynamics behind this very competitive industry. Interns will also be afforded the opportunity to work on real assignments and be able to contribute their talents to the development of events. All candidates who are hired get the chance to work for departments that match up with their individual areas of interest. Each intern will be placed in one of six SPE divisions, including: Home Entertainment; Motion Pictures; Digital Productions; Television; Corporate Function; and Technologies.

Internship opportunities are available for three terms per year—fall, winter/spring, and summer. The fall and winter/spring internships consist of 15 weeks and approximately 20 hours per week while summer internships usually consist of 8 weeks at 40 hours per week.","18, 19-24, 24+","Students enrolled in a postsecondary institution, No restrictions/all populations served, Interns must be enrolled in an undergraduate or graduate institution.",11-50,"Culver City, County of Los Angeles","10202 Washington Blvd.
Culver City, CA 90232",https://www.sonypictures.com/corp/corporateimpact.html     For internships:http://www.sonypicturesjobs.com/,Yes
7/20/2018 9:12:18,ArtCenter College of Design,higher education,,ArtCenter for Teens,"architecture/interior design, arts galleries, communication arts, digital media, entertainment, fashion, fine and performing arts school, furniture/decorative arts, industrial design services, toys, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, INTERNSHIPS: provide internship to young people in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries","Serving as a gateway to ArtCenter’s degree programs, Public Programs provide access to exceptional instruction, facilities and networking opportunities. Our programs feature a varied and evolving curriculum led by a dedicated faculty of professional artists and top design practitioners, many of who are ArtCenter alumni.

ArtCenter partners with a network of nonprofits, k-12 schools, and city/state funded programs where students would benefit by taking ArtCenter classes. By utilizing other departments to talk about our classes we try to expand our reach. ArtCenter also offers a program for 4th-8th graders. For High Schoolers, the goals are to develop skills, and expose students to different fields and to the people who work in those fields. 

ArtCenter for Teens:
ArtCenter for Teens (formerly Saturday High) is a unique art and design program tailored just for teens in grades 9 through 12. Classes are offered three times a year: fall, spring, and summer. In this program, we don’t teach students how to be creative. Rather, we help students strengthen their creativity, build their confidence and discover their unique voice. Our faculty of professional artists and designers share their personal stories and real-world experiences. They challenge students to become better risk-takers by playing to their strengths and encouraging them to tackle their weaknesses. In turn, students learn the creative process and how to reach beyond the obvious. Scholarships are available. ","14, 15, 16, 17, 18",No restrictions/all populations served,501-1000,Pasadena,"Hillside Campus:
1700 Lida St.
Pasadena, CA 91103

South Campus:
950 S. Raymond Avenue
1111 S. Arroyo Parkway
Pasadena, CA 91105",http://www.artcenter.edu/academics/public-programs/overview.html,Yes
7/21/2018 15:53:28,California Community Colleges,higher education,,Doing What Matters Initiative; Career Education Practices; Apprenticeships,"communication arts, digital media, entertainment, fashion, fine and performing arts school, furniture/decorative arts, industrial design services, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries, STIPENDS: provide stipends to support students' engagement in internships or other learning environments, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","Among the activities of the California Community Colleges Chancellor’s Office, the programs of the Division of Workforce and Economic Development bridge the skills and jobs mismatch and prepare California’s workforce for 21st century careers. The Division serves as administrator for several streams of state and federal funds, including Governor’s Career Technical Education Pathways Initiative (SB70), Carl D. Perkins Career and Technical Education Act of 2006, and Proposition 98 dollars for Apprenticeship, Economic & Workforce Development (EWD), and Career Technical Education (CTE).

The Division collaborates with employers, organized labor, local communities, and their community colleges through programming supported by these funds to close the skills gap and to foster successful student completion.

The goals of Doing What Matters for Jobs and the Economy are to supply in-demand skills for employers, create relevant career pathways and stackable credentials, promote student success and get Californians into open jobs. Our 114 colleges provide students with the knowledge and background necessary in today’s competitive job market. With a wide range of educational offerings, the colleges provide workforce training, basic skills courses in English and math, certificate and degree programs and preparation for transfer to four-year colleges and universities. In a difficult economy, a college education is critical. \

Career Education Practices:
The Career Education Practices (CEP) Unit of the Workforce and Economic Development Division focuses on program coordination and advocacy, policy development and coordination with K-18 workforce preparation and career and technical education systems. The CEP Unit is responsible for the implementation of the Carl D. Perkins Career Technical Education Act (Perkins IV) of 2006, which includes managing and coordinating activities that impact other interagency and intra-agency objectives. The unit also coordinates the implementation of the Governor's Career Pathways Initiative (SB 70; SB 1133). In addition, the CEP Unit is responsible for the development, dissemination, and implementation of the California State Plan and the annual performance reports.

Apprenticeships:
Apprenticeship programs offer Californians a pathway to in demand high wage and high-growth careers. Apprenticeship is a remarkable structured training method and method of choice in industries that demand highly skilled, competent and flexible workers.  As innovation propels American industries apprenticeship will be critical to the productivity, efficiency, and skill of an industry’s work force. Industries that hope to thrive in the new global economy are encouraged to incorporate apprenticeship training models into their work force development strategy. Apprenticeship offers the right blend of “learning by doing” and theoretical instruction “in-class” to produce workers who have the necessary skills for each industry.",All ages/no age restrictions,No restrictions/all populations served,more than 1000,"County of Los Angeles, State of California",https://www.cccapply.org/colleges,http://doingwhatmatters.cccco.edu/   For apprenticeships: https://www.dir.ca.gov/databases/das/aigstart.asp  ,Yes
7/21/2018 16:19:28,Los Angeles City College,higher education,,Career Technical Education; LA High Tech Program,"arts galleries, communication arts, digital media, entertainment, fashion, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","Career Tech Education:
Career Technical Education (CTE) provides students of all ages with the academic and technical skills, knowledge and training necessary to succeed in future careers and to become lifelong learners. In total, about 12.5 million high school and college students are enrolled in CTE across the nation. CTE prepares these learners for the world of work by introducing them to workplace competencies, and makes academic content accessible to students by providing it in a hands-on context.

LA HI-TECH:
The Los Angeles High Impact Information Technology, Entertainment & Entrepreneurship, and Communications Hubs (LA HI-TECH) Regional Consortium embeds elements and mechanisms of a vibrant ecosystem to sustain the economic vitality of a skilled and competitive workforce that contributes to the economic growth of the Information and Communication Technology (ICT) Industry in Los Angeles.

Eight (8) Community Colleges will work with sixteen (16) high schools linked to three (3) identified career pathways in ICT. The pathways include: Design, Visual, and Media Arts; Information Support and Services; Software Systems and Development, and the Information and Communication Technology (ICT) Industry.

Los Angeles City College--the south hub--has partnered with Los Angeles Southwest College to work with the following LAUSD high schools : Hollywood, Marshall, Fairfax, Middle College, Jordan, Washington, and Downtown Business Magnet. ",All ages/no age restrictions,No restrictions/all populations served,more than 1000,"Central Los Angeles (Hollywood, Mid-City, Mid-Wilshire, Downtown, Koreatown, Pico-Union), Eastside (Boyle Heights, East Los Angeles, Lincoln Heights), City of Los Angeles","855 N. Vermont Ave.
Los Angeles, CA  90029
(323) 953-4000",https://www.lacitycollege.edu/  For CTE:https://www.lacitycollege.edu/Academic-Info/Workforce-Education/Specially-Funded-Programs,Yes
7/21/2018 17:10:47,LA Trade Technical College,higher education,,Design & Media Arts Pathway; Bridge to College; Great Outcomes Tech Central; ,"architecture/interior design, communication arts, digital media, fashion, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","Los Angeles Trade Technical College (LATTC) advances communities through pathways to academic, career, and transfer success that empower students to achieve career technical certificates, associate degrees, transfer, and employment.

Design & Media Arts Pathway:
The Design & Media Arts Pathways specifically aim to work with vulnerable youth by providing a pathway to career success. The Design and Media Arts Pathway consists of Fashion Design, Fashion Merchandising, Visual Communication (VisCom), Sign Graphics, and Digital Media. The primary goal of each discipline is to assist students in realizing their educational aspirations. Each discipline prepares students for careers in creative fields as is reflected in the department mission statement. The department is constantly looking for ways to enhance education for our students through outside activities such as field trips and participation in artistic events.  The Co-op Ed. Program is a means for students across all disciplines an opportunity to earn college credit while gaining invaluable on-the-job training. 

Bridge to College:
The Bridge to College Program at Los Angeles Trade Tech College (LATTC) provides students the opportunity to concurrently enroll in college courses while still in high school. The purpose of the program is to provide advanced scholastic academic work (courses applicable towards a college degree) and educational enrichment opportunities for eligible students. LATTC offers over 125 courses on campus at LATTC, high schools, and throughout the community. 

Students who desire to participate in concurrent enrollment must be recommended by their principal or counselor and have parental permission.

Great Outcomes Tech Central:
G.O. Tech Central is a partnership between the Los Angeles Unified School District-Local District Central, Los Angeles Trade Tech College and Cal State L.A. Their mission is to promote a college-going culture and to offer pathways to academic, career, and transfer success.",All ages/no age restrictions,No restrictions/all populations served,more than 1000,"City of Los Angeles, County of Los Angeles","400 West Washington Blvd,
Los Angeles, CA 90015
(213) 763-7000",http://college.lattc.edu/,Yes
7/22/2018 0:46:08,Otis College of Art and Design,higher education,,K-12 & pre-college programs; Summer of Art,"architecture/interior design, arts galleries, communication arts, digital media, entertainment, fashion, fine and performing arts school, furniture/decorative arts, industrial design services, publishing and printing, toys, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, WORKFORCE READINESS: teach soft skills required for success in the creative industries, CERTIFICATION: provide certificate or degree indicating readiness for workforce opportunities in creative industries, PLACEMENT: connect young people to workforce opportunities in the creative industries, INTERNSHIPS: provide internship to young people in the creative industries, SCHOLARSHIPS: provide scholarships to young people in programs related to the creative industries, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","Otis College is committed to fostering a diverse and inclusive campus environment where all students can thrive in their personal and academic endeavors. Our commitment to diversity is one we are most proud of, offering services and resources focused on supporting students from diverse backgrounds. The college offers the following programs (K-12 & Pre-collegiate programs) to community members, and partners with a number of community based organizations to recruit students and introduce them to the college. Tuition waivers available. 

K-12 & Pre-collegiate program:
Courses for students ages 5 – 18 introduce the elements and principles of art and design and encourage personal self-expression. Taught by practicing professional artists who are also skilled arts educators, our programs are designed for the experienced artist as well as students with limited art training.
During the summer we offer Summer Camps for students ages 5-15. 

Summer of Art:
This intensive, four-week, pre-college program is for individuals 15 and older who wish to study at one of the top art and design colleges in the country. Serious young artists seeking to strengthen and enhance their art and design skills, as well as students with limited art training, are invited to participate. Rigorous course work includes hands-on studio courses and labs in your chosen Specialization Course and/or Drawing Studio Course.The Otis College Summer of Art English Language Immersion courses are designed to provide a creative environment to expand one’s competency of the English language while developing skills and knowledge of art and design. ","5-10, 11-13, 14, 15, 16, 17, 18, 19-24, 24+",No restrictions/all populations served,more than 1000,,"9045 Lincoln Blvd.
Los Angeles, CA 90045
(310) 665-6800",https://www.otis.edu/,Yes
7/22/2018 23:41:46,Arts for Incarcerated Youth Network,non-profit,,,"arts galleries, communication arts, digital media, publishing and printing, visual and performing arts providers","INSTRUCTION: increase students' interest, abilities and skills in the creative arts, EXPOSURE: introduce students to career opportunities in the creative industries, RE-ENGAGEMENT: reconnect young people to their education and their future through the creative arts, WORKFORCE READINESS: teach soft skills required for success in the creative industries, STUDENT SUPPORTS: provide student supports such as food, transportation, supplies, clothing, health services, etc.","The Arts for Incarcerated Youth Network (AIYN) is an interdisciplinary collaborative that provides exceptional arts programming in order to build resiliency and wellness, eliminate recidivism, and transform the juvenile justice system. AIYN envisions a future where youth are empowered and the systems that serve them are transformed by using arts as a foundational strategy and catalyst for change. Arts Education is integrated into detention facilities as a core healing-informed strategy for addressing trauma, redirecting lives, and as a foundational strategy for successful reentry, including developing 21st Century job skills (creativity, communication, collaboration, and critical thinking) and connecting young people to the creative economy. 

AIYN seeks to integrate arts as an effective sentencing alternative, a critical intervention to address trauma for youth who are incarcerated, and a foundational strategy for successful reentry. As a first step, we are integrating arts into detention facilities across Los Angeles County.  By serving as a one-stop entity, AIYN is successfully partnering with LA County Probation and the LA County Arts Commission to provide high-impact, quality arts across 10 juvenile detention sites. We have been working with Probation and the Arts Commission to develop the arts modules, create evaluation/assessment measures, and build the foundation for eventual expansion to all 13 camps and all three halls in LA County. We estimate over 500 young people will be reached in this first year.
","11-13, 14, 15, 16, 17, 18, 8-18",Incarcerated youth,501-1000,County of Los Angeles,"830 Traction Ave. #3a
Los Angeles, CA 90013
310-962-6000",http://aiynetwork.org/,Yes
